학수번호,강의시간,강의실
GEF1106-005,"화1,2,3,목1,2,3",60주년-511
GEF1103-001,"화4,5,6,목4,5,6",60주년-610
GEF1104-001,"월7,8,9,수7,8,9",60주년-511
GEF1105-001,"월10,11,12,수10,11,12",60주년-511
GEE2035-001,"화7,8,9,목7,8,9",60주년-612
GEE3001-001,"월1,2,3,수1,2,3",60주년-805
GEE3001-002,"월4,5,6,수4,5,6",60주년-805
GEE3003-001,"월7,8,9,수7,8,9",60주년-607
GEE3003-002,"수10,11,12,금10,11,12",60주년-609
GEE3003-004,"수16,17,18,금16,17,18",60주년-609
GEE3003-005,"화4,5,6,목4,5,6",60주년-508
GEE3003-006,"화7,8,9,목7,8,9",60주년-508
GEE3004-001,"화1,2,3,목1,2,3",60주년-508
GEE3004-002,"수13,14,15,16,17,18",60주년-508
GEE3004-003,"금1,2,3,4,5,6",60주년-508
GEE3004-004,"수1,2,3,4,5,6",60주년-508
GEE3013-001,"화7,8,9,목7,8,9",60주년-805
GEE3013-002,"화10,11,12,목10,11,12",60주년-805
GEE3025-001,"수13,14,15,16,17,18",60주년-511
GEE3033-001,"목1,2,3,4,5,6",60주년-609
GEE4003-001,"금13,14,15,16,17,18",60주년-101
GEE4005-001,"화1,2,3,4,5,6",60주년-710
GEE4006-001,"수13,14,15,16,17,18",60주년-710
GEE4019-001,"월13,14,15,16,17,18",60주년-609
GEE4021-001,"월4,5,6,7,8,9",60주년-712
GEE4025-001,"금5,6,7,8",60주년-712
GEE4035-001,"금1,2,3,4",60주년-712
GEE4036-001,"월10,11,12,13,14,15",60주년-712
GEE4037-001,"수9,10,11,12",60주년-711
GEE4038-001,"화9,10,11,12",60주년-510
GEE5014-001,"화13,14,15,16",60주년-607
GEE3019-001,"수1,2,3,4,5,6",60주년-607
